_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
942629,4155095,2017.0,2018.0,1955.0,PRIVATE,5,York South-Weston,4 GREENTREE CRT,4,43,2019-01-23,80,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,3.0,4.0,,4.0,,4.0,5.0,5.0,5.0,3.0,4.0,4.0,,4.0,3.0,,W0532,43.6926919823,-79.4790165335,306475.957,4838970.911
942630,4152713,2017.0,2018.0,1960.0,PRIVATE,21,Scarborough Centre,879 KENNEDY RD,4,29,2019-01-23,76,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,,E2133,43.73995556,-79.270578917,323263.544,4844247.841
942631,4155118,2017.0,2018.0,1960.0,PRIVATE,5,York South-Weston,3 GREENTREE CRT,3,45,2019-01-23,76,Evaluation needs to be conducted in 2 years,15,3.0,2.0,5.0,4.0,4.0,4.0,,3.0,,,5.0,3.0,5.0,3.0,4.0,4.0,,4.0,4.0,,W0532,43.6924423305,-79.478539855,306514.38899999997,4838943.183
942632,4154722,2017.0,2018.0,1960.0,PRIVATE,18,Willowdale,6171 BATHURST ST,13,170,2019-01-23,81,Evaluation needs to be conducted in 2 years,19,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,,N1821,43.7898670361,-79.4451703972,309197.325,4849767.841
942633,4153001,2017.0,2018.0,1900.0,PRIVATE,4,Parkdale-High Park,120 DOWLING AVE,3,17,2019-01-23,67,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,,,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,,,S0437,43.63647140770001,-79.4388819579,309715.834,4832726.665
942634,4154026,2017.0,2018.0,1960.0,PRIVATE,8,Eglinton-Lawrence,15 BEDFORD PARK AVE,3,39,2019-01-23,76,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,3.0,4.0,3.0,,4.0,,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,N0825,43.7269710792,-79.4040459316,312515.092,4842783.43
942635,4153552,2017.0,2018.0,1988.0,SOCIAL HOUSING,14,Toronto-Danforth,841 QUEEN ST E,3,36,2019-01-23,53,Evaluation needs to be conducted in 1 year,18,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,,2.0,3.0,1.0,3.0,3.0,3.0,,3.0,3.0,3.0,S1440,43.660037777700005,-79.34386069039999,317377.858,4835354.725
942636,4154676,2018.0,2018.0,1940.0,PRIVATE,8,Eglinton-Lawrence,284 LAWRENCE AVE W,3,15,2019-01-23,71,Evaluation needs to be conducted in 2 years,15,3.0,3.0,5.0,3.0,,3.0,,3.0,,,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,,N0824,43.722781903999994,-79.4147683838,311651.724,4842317.086
942637,4154668,2017.0,2018.0,1960.0,PRIVATE,8,Eglinton-Lawrence,205 WILSON AVE,3,20,2019-01-23,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,,N0824,43.738889013599994,-79.4250339237,310822.99600000004,4844105.651000001
942638,4153004,2017.0,2018.0,1900.0,PRIVATE,4,Parkdale-High Park,1621 QUEEN ST W,6,74,2019-01-23,63,Evaluation needs to be conducted in 1 year,16,3.0,3.0,4.0,3.0,3.0,4.0,,3.0,3.0,,3.0,3.0,4.0,2.0,3.0,3.0,,3.0,3.0,,S0436,43.6387782668,-79.44488373739999,309231.4,4832982.61
942639,4155119,2017.0,2018.0,1960.0,PRIVATE,5,York South-Weston,40 TRETHEWEY DR,3,45,2019-01-23,71,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,2.0,2.0,4.0,,4.0,,,4.0,2.0,5.0,3.0,4.0,5.0,,4.0,4.0,,W0532,43.6926109398,-79.4780640156,306552.743,4838961.923
942640,4155117,2017.0,2018.0,1970.0,PRIVATE,5,York South-Weston,5 GREENTREE CRT,3,17,2019-01-23,60,Evaluation needs to be conducted in 1 year,15,2.0,2.0,3.0,2.0,2.0,3.0,,4.0,,,3.0,2.0,5.0,3.0,3.0,4.0,,3.0,4.0,,W0532,43.692263947200004,-79.4789792359,306478.974,4838923.358
942641,4155116,2017.0,2018.0,1953.0,PRIVATE,5,York South-Weston,7 GREENTREE CRT,3,28,2019-01-23,88,Evaluation needs to be conducted in 3 years,15,5.0,5.0,5.0,4.0,4.0,4.0,,4.0,,4.0,5.0,4.0,5.0,4.0,4.0,5.0,,4.0,,,W0532,43.6921996331,-79.47923360909999,306458.47,4838916.21
942642,4155115,,2018.0,1956.0,PRIVATE,5,York South-Weston,9 GREENTREE CRT,3,28,2019-01-23,53,Evaluation needs to be conducted in 1 year,15,2.0,2.0,2.0,2.0,2.0,4.0,,2.0,,,2.0,3.0,4.0,3.0,3.0,3.0,,3.0,3.0,,W0532,43.692147125299996,-79.4794625352,306440.017,4838910.374
942643,4153439,2017.0,2018.0,1974.0,PRIVATE,13,Toronto Centre,266 SHERBOURNE ST,13,121,2019-01-23,81,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,,S1328,43.659296803800004,-79.3718238702,315122.618,4835268.563999999
942644,4155094,2017.0,2018.0,1950.0,PRIVATE,5,York South-Weston,2 GREENTREE CRT,3,29,2019-01-23,83,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,3.0,4.0,,4.0,,4.0,5.0,5.0,5.0,3.0,4.0,4.0,,4.0,4.0,,W0532,43.6929246755,-79.4786023031,306509.343,4838996.768999999
942645,4153631,2017.0,2018.0,1989.0,SOCIAL HOUSING,14,Toronto-Danforth,502 EASTERN AVE,5,19,2019-01-23,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,3.0,4.0,,4.0,,,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,S1441,43.6582172963,-79.3407960329,317625.416,4835152.942
942646,4155806,2017.0,2018.0,1950.0,PRIVATE,20,Scarborough Southwest,1641 KINGSTON RD,3,11,2019-01-22,65,Evaluation needs to be conducted in 1 year,16,3.0,4.0,2.0,2.0,2.0,3.0,,4.0,,3.0,2.0,4.0,4.0,3.0,4.0,4.0,,4.0,4.0,,E2034,43.690864521,-79.265477585,323718.011,4838812.556
942647,4155805,2017.0,2018.0,1950.0,PRIVATE,20,Scarborough Southwest,1633 KINGSTON RD,3,10,2019-01-22,71,Evaluation needs to be conducted in 2 years,16,4.0,4.0,2.0,2.0,3.0,3.0,,4.0,,4.0,2.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,E2034,43.690864521,-79.265477585,323718.011,4838812.556
942648,4155804,2017.0,2018.0,1950.0,PRIVATE,20,Scarborough Southwest,1625 KINGSTON RD,3,11,2019-01-22,70,Evaluation needs to be conducted in 2 years,16,4.0,4.0,2.0,3.0,2.0,3.0,,4.0,,3.0,2.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,E2034,43.690864521,-79.265477585,323718.011,4838812.556
942649,4152707,2017.0,2018.0,1961.0,PRIVATE,21,Scarborough Centre,821 KENNEDY RD,6,59,2019-01-22,68,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,3.0,2.0,,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,,E2133,43.735133526599995,-79.26857423850001,323426.766,4843711.623
942650,4153006,2017.0,2018.0,1970.0,PRIVATE,4,Parkdale-High Park,70 WILSON PARK RD,3,25,2019-01-22,69,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,4.0,3.0,4.0,,4.0,,,3.0,3.0,5.0,3.0,3.0,3.0,,4.0,3.0,,S0436,43.638628857,-79.4424836843,309425.058,4832966.142
942651,4153645,2017.0,2018.0,1994.0,SOCIAL HOUSING,14,Toronto-Danforth,1320 GERRARD ST E,5,45,2019-01-22,93,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,,S1437,43.671590245699996,-79.3263209715,318789.80600000004,4836640.948
942652,4268878,2017.0,2018.0,1980.0,TCHC,21,Scarborough Centre,85 GILDER DR,6,22,2019-01-22,67,Evaluation needs to be conducted in 2 years,18,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,,E2134,43.736266700200005,-79.25386808100001,324611.016,4843840.908
942653,4268876,2017.0,2018.0,1980.0,TCHC,21,Scarborough Centre,81 GILDER DR,6,22,2019-01-22,63,Evaluation needs to be conducted in 1 year,18,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,,E2134,43.7364538465,-79.2539355905,324605.517,4843861.682
942654,4286276,2017.0,2018.0,1980.0,TCHC,21,Scarborough Centre,51 GILDER DR,6,22,2019-01-22,66,Evaluation needs to be conducted in 2 years,17,3.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,,,E2134,43.7366529492,-79.2546800304,324545.484,4843883.623
942655,4156268,2017.0,2018.0,1970.0,TCHC,21,Scarborough Centre,49 GILDER DR,6,22,2019-01-22,63,Evaluation needs to be conducted in 1 year,18,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,,E2134,43.7365696854,-79.255181683,324505.1,4843874.254
942656,4155979,2017.0,2018.0,1970.0,TCHC,21,Scarborough Centre,47 GILDER DR,6,66,2019-01-22,66,Evaluation needs to be conducted in 2 years,18,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,,E2134,43.736354755600004,-79.2553148807,324494.439,4843850.346
942657,4153003,2017.0,2018.0,1922.0,PRIVATE,4,Parkdale-High Park,1623 QUEEN ST W,4,42,2019-01-22,73,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,4.0,3.0,3.0,,4.0,,3.0,4.0,3.0,4.0,4.0,4.0,3.0,,4.0,,,S0436,43.638781441400006,-79.4452145314,309204.71,4832982.945
942658,4153440,2017.0,2018.0,1838.0,PRIVATE,13,Toronto Centre,262 SHERBOURNE ST,3,10,2019-01-22,67,Evaluation needs to be conducted in 2 years,15,3.0,3.0,3.0,3.0,,3.0,,3.0,,,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,,S1328,43.6591658607,-79.3715926671,315141.288,4835254.045
942659,4155538,2017.0,2018.0,1970.0,PRIVATE,3,Etobicoke-Lakeshore,105 TWENTY FIFTH ST,3,29,2019-01-22,69,Evaluation needs to be conducted in 2 years,14,3.0,3.0,4.0,3.0,,3.0,,4.0,,,3.0,4.0,5.0,3.0,3.0,3.0,,4.0,3.0,,W0334,43.5964677735,-79.5233498233,302899.17,4828280.973
942660,4153441,2017.0,2018.0,1809.0,PRIVATE,13,Toronto Centre,260 SHERBOURNE ST,4,10,2019-01-22,65,Evaluation needs to be conducted in 1 year,15,3.0,3.0,3.0,3.0,,3.0,,3.0,,,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,,S1328,43.659098979899994,-79.3715644023,315143.57899999997,4835246.618
942661,4155250,2017.0,2018.0,1955.0,PRIVATE,3,Etobicoke-Lakeshore,143 STEPHEN DR,5,31,2019-01-22,78,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,,W0327,43.638681755200004,-79.4872228094,305815.067,4832975.459
942662,4155749,2017.0,2018.0,1950.0,PRIVATE,3,Etobicoke-Lakeshore,3 SUPERIOR AVE,7,62,2019-01-22,77,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,,W0336,43.6150903921,-79.4868989887,305841.767,4830349.727
942663,4155752,2017.0,2018.0,1950.0,PRIVATE,3,Etobicoke-Lakeshore,1 SUPERIOR AVE,4,23,2019-01-22,69,Evaluation needs to be conducted in 2 years,17,3.0,3.0,5.0,3.0,3.0,4.0,,3.0,3.0,,3.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,,W0336,43.6148862856,-79.48695961109999,305836.877,4830327.051
942664,4154634,2017.0,2018.0,1972.0,PRIVATE,6,York Centre,1875 STEELES AVE W,4,120,2019-01-22,72,Evaluation needs to be conducted in 2 years,20,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,N0622,43.787093865,-79.467715903,307382.726,4849459.76
942665,4155962,2017.0,2018.0,1969.0,PRIVATE,6,York Centre,1085 STEELES AVE W,15,100,2019-01-22,70,Evaluation needs to be conducted in 2 years,18,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,,N0622,43.791214032,-79.44875271800001,308924.363,4849959.367
942666,4154376,2017.0,2018.0,1953.0,PRIVATE,6,York Centre,939-941 WILSON AVE,3,16,2019-01-22,72,Evaluation needs to be conducted in 2 years,15,4.0,3.0,4.0,3.0,5.0,3.0,,5.0,,,3.0,3.0,5.0,3.0,4.0,3.0,,3.0,3.0,,N0632,43.72933702,-79.471517906,307073.58,4843029.948
942667,4154377,2017.0,2018.0,1960.0,PRIVATE,6,York Centre,933-937 WILSON AVE,3,36,2019-01-22,72,Evaluation needs to be conducted in 2 years,15,4.0,3.0,4.0,3.0,5.0,3.0,,5.0,,,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,,N0632,43.729552423,-79.47055872199999,307126.804,4843063.258
942668,4156530,2017.0,2018.0,1960.0,PRIVATE,6,York Centre,927-931 WILSON AVE,3,36,2019-01-22,72,Evaluation needs to be conducted in 2 years,15,4.0,3.0,4.0,3.0,5.0,3.0,,5.0,,,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,,N0632,43.729758711,-79.469616321,307204.644,4843087.433
942669,4154378,2017.0,2018.0,1960.0,PRIVATE,6,York Centre,923-925 WILSON AVE,3,23,2019-01-22,72,Evaluation needs to be conducted in 2 years,15,4.0,3.0,4.0,3.0,5.0,3.0,,5.0,,,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,,N0632,43.729832928,-79.468851985,307285.663,4843110.586
942670,4154661,2017.0,2018.0,1970.0,PRIVATE,8,Eglinton-Lawrence,595 BROOKDALE AVE,7,47,2019-01-22,74,Evaluation needs to be conducted in 2 years,19,3.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,,N0824,43.7242678241,-79.42950883510001,310463.939,4842481.031
942671,4155244,2017.0,2018.0,1953.0,PRIVATE,3,Etobicoke-Lakeshore,179 BERRY RD,4,23,2019-01-22,67,Evaluation needs to be conducted in 2 years,17,3.0,3.0,3.0,4.0,3.0,3.0,,4.0,,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,,W0329,43.6366442394,-79.4899445536,305595.659,4832744.208000001
942672,4154664,2017.0,2018.0,1960.0,PRIVATE,8,Eglinton-Lawrence,3635 BATHURST ST,4,19,2019-01-22,67,Evaluation needs to be conducted in 2 years,17,3.0,3.0,5.0,3.0,3.0,3.0,,3.0,3.0,,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,,N0824,43.733389944399995,-79.43271479319999,310204.804,4843494.231000001
942673,4153553,2017.0,2018.0,1987.0,SOCIAL HOUSING,14,Toronto-Danforth,58 LEWIS ST,4,15,2019-01-22,79,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,,,S1440,43.657882233,-79.348395465,317012.287,4835115.549
942674,4153442,2019.0,2018.0,1955.0,PRIVATE,13,Toronto Centre,256 SHERBOURNE ST,4,23,2019-01-21,67,Evaluation needs to be conducted in 2 years,15,2.0,3.0,3.0,3.0,3.0,4.0,,3.0,,,4.0,4.0,4.0,3.0,4.0,4.0,,3.0,3.0,,S1328,43.65892538560001,-79.3715946717,315141.167,4835227.328
942675,4153009,2017.0,2018.0,1912.0,PRIVATE,4,Parkdale-High Park,1501 QUEEN ST W,3,38,2019-01-21,68,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,,,3.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,,,S0436,43.639616026700004,-79.4409064892,309552.238,4833075.896000001
942676,4153005,2017.0,2018.0,1900.0,PRIVATE,4,Parkdale-High Park,1609 QUEEN ST W,3,41,2019-01-21,60,Evaluation needs to be conducted in 1 year,15,3.0,3.0,3.0,2.0,3.0,3.0,,3.0,,,2.0,4.0,5.0,2.0,3.0,3.0,,3.0,3.0,,S0436,43.638738833299996,-79.4444453098,309266.777,4832978.2530000005
942677,4153445,2017.0,2018.0,1973.0,PRIVATE,13,Toronto Centre,100 PEMBROKE ST,11,102,2019-01-21,71,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,3.0,2.0,,S1328,43.659658055200005,-79.3733983555,314995.566,4835308.5030000005
942678,4154629,2017.0,2018.0,1970.0,PRIVATE,6,York Centre,25 FISHERVILLE RD,18,221,2019-01-21,76,Evaluation needs to be conducted in 2 years,20,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,N0622,43.788874739499995,-79.4489791313,308890.874,4849657.401000001
942679,4155055,2017.0,2018.0,1959.0,PRIVATE,8,Eglinton-Lawrence,1040 CASTLEFIELD AVE,4,44,2019-01-21,74,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,3.0,4.0,,3.0,,2.0,4.0,3.0,5.0,4.0,3.0,4.0,,4.0,3.0,,N0831,43.7010486833,-79.4499999014,308814.479,4839900.279
942680,4155056,2017.0,2018.0,1959.0,PRIVATE,8,Eglinton-Lawrence,1050 CASTLEFIELD AVE,5,64,2019-01-21,72,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,3.0,4.0,3.0,,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,,N0831,43.7010927419,-79.4506862658,308759.154,4839905.141
942681,4152704,2017.0,2018.0,1969.0,PRIVATE,21,Scarborough Centre,807 KENNEDY RD,5,34,2019-01-21,73,Evaluation needs to be conducted in 2 years,17,5.0,4.0,4.0,4.0,2.0,3.0,,4.0,3.0,,4.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,,E2133,43.7337142939,-79.267968421,323476.02,4843554.095
942682,4154630,2017.0,2018.0,1970.0,PRIVATE,6,York Centre,5 FISHERVILLE RD,17,202,2019-01-21,80,Evaluation needs to be conducted in 2 years,20,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,N0622,43.7893811504,-79.4481218058,308959.834,4849713.7069999995
942683,4152698,2017.0,2018.0,1960.0,PRIVATE,21,Scarborough Centre,806 KENNEDY RD,5,57,2019-01-21,71,Evaluation needs to be conducted in 2 years,19,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,E2133,43.7335331794,-79.2693313625,323366.283,4843533.666999999
942684,4152731,2017.0,2018.0,1961.0,PRIVATE,21,Scarborough Centre,4 TREEWOOD ST,7,82,2019-01-18,73,Evaluation needs to be conducted in 2 years,18,4.0,3.0,5.0,3.0,3.0,4.0,,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,,E2129,43.754281749499995,-79.26405657069999,323784.661,4845839.897
942685,4155776,2017.0,2018.0,1967.0,PRIVATE,6,York Centre,35 CEDARCROFT BLVD,13,207,2019-01-18,77,Evaluation needs to be conducted in 2 years,19,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,N0622,43.7827450557,-79.4483048718,308945.57399999996,4848976.441000001
942686,4155537,2017.0,2018.0,1957.0,PRIVATE,3,Etobicoke-Lakeshore,95 TWENTY FIFTH ST,3,46,2019-01-18,70,Evaluation needs to be conducted in 2 years,16,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,,3.0,4.0,2.0,5.0,4.0,4.0,4.0,,4.0,2.0,,W0334,43.5956296251,-79.52294293050001,302931.99600000004,4828187.853
942687,4153220,2017.0,2018.0,1955.0,PRIVATE,11,University-Rosedale,224 ST GEORGE ST,9,91,2019-01-18,69,Evaluation needs to be conducted in 2 years,18,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,,S1127,43.671416122,-79.401975537,312688.81,4836612.569
942688,4153232,2017.0,2018.0,1958.0,PRIVATE,11,University-Rosedale,267 ST GEORGE ST,10,63,2019-01-18,76,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,,S1127,43.673533271400004,-79.4021494997,312674.784,4836846.799
942689,4153027,2017.0,2018.0,1917.0,PRIVATE,4,Parkdale-High Park,1479 QUEEN ST W,3,11,2019-01-18,60,Evaluation needs to be conducted in 1 year,13,3.0,3.0,4.0,3.0,,3.0,,3.0,,,3.0,2.0,5.0,2.0,3.0,3.0,,2.0,,,S0436,43.639920626999995,-79.4393647797,309675.403,4833106.528
942690,4261157,,2018.0,1957.0,PRIVATE,3,Etobicoke-Lakeshore,103 SIXTEENTH ST,3,10,2019-01-18,64,Evaluation needs to be conducted in 1 year,15,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,,,3.0,2.0,5.0,3.0,3.0,3.0,,4.0,3.0,,W0335,43.6028075946,-79.5164885645,303453.266,4828985.195
942691,4155524,2017.0,2018.0,1952.0,PRIVATE,3,Etobicoke-Lakeshore,104 SIXTEENTH ST,3,12,2019-01-18,71,Evaluation needs to be conducted in 2 years,16,3.0,3.0,5.0,3.0,3.0,3.0,,3.0,,4.0,4.0,3.0,5.0,4.0,4.0,3.0,,4.0,3.0,,W0335,43.6026815249,-79.5170398804,303408.757,4828971.198
942692,4153223,2017.0,2018.0,1960.0,PRIVATE,11,University-Rosedale,161 ST GEORGE ST,7,62,2019-01-18,81,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,,S1127,43.670260332,-79.40054649,312804.196,4836484.301
942693,4152695,2017.0,2018.0,1971.0,PRIVATE,21,Scarborough Centre,10 IONVIEW RD,6,62,2019-01-18,64,Evaluation needs to be conducted in 1 year,17,3.0,3.0,4.0,3.0,3.0,2.0,,3.0,3.0,,3.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,,E2133,43.7320328108,-79.27180036840001,323167.844,4843366.427
942694,4155215,2017.0,2018.0,1954.0,PRIVATE,3,Etobicoke-Lakeshore,100 BROWNS LINE,3,22,2019-01-18,83,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,,3.0,4.0,3.0,5.0,4.0,5.0,4.0,,4.0,4.0,,W0330,43.5952200747,-79.5429727048,301314.74,4828143.037
942695,4156099,2017.0,2018.0,1952.0,PRIVATE,2,Etobicoke Centre,12 BEXHILL CRT,4,14,2019-01-18,80,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0229,43.6624690571,-79.5204003078,303138.967,4835613.4180000005
942696,4155924,2017.0,2018.0,1952.0,PRIVATE,2,Etobicoke Centre,14 BEXHILL CRT,4,14,2019-01-18,83,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,4.0,,W0229,43.6627215022,-79.52019357260001,303155.649,4835641.459
942697,4154370,2017.0,2018.0,1958.0,PRIVATE,6,York Centre,23 ANTHONY RD,3,12,2019-01-18,79,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,4.0,4.0,4.0,,5.0,,,4.0,3.0,4.0,4.0,4.0,4.0,,4.0,3.0,,N0632,43.7303067168,-79.4602104154,307990.018,4843150.255
942698,4156164,2017.0,2018.0,1952.0,PRIVATE,2,Etobicoke Centre,4 BEXHILL CRT,4,13,2019-01-18,84,Evaluation needs to be conducted in 2 years,16,4.0,5.0,5.0,4.0,5.0,3.0,,4.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,5.0,,W0229,43.6627117041,-79.5212630607,303069.399,4835640.393999999
942699,4156370,2017.0,2018.0,1952.0,PRIVATE,2,Etobicoke Centre,5 BEXHILL CRT,4,13,2019-01-18,82,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,3.0,5.0,3.0,,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,3.0,4.0,,W0229,43.6623890057,-79.52130693779999,303065.849,4835604.545
942700,4281915,2017.0,2018.0,1952.0,PRIVATE,2,Etobicoke Centre,6 BEXHILL CRT,4,13,2019-01-18,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,4.0,3.0,,4.0,,4.0,3.0,4.0,5.0,4.0,4.0,4.0,,3.0,4.0,,W0229,43.6620535343,-79.5213419996,303063.01,4835567.277
